1,jraaieieournals/tosem/DillonKMMR94,A Graphical Interval Logic for Specifying Concurrent Systems.,Laura K. Dillon   G. Kutty   Louise E. Moser   P. M. Melliar-Smith   Y. S. Ramakrishna   ,1994
10,journals/cacm/FurnasLGD87,The Vocabulary Problem in Human-System Communication.,George W. Furnas   Thomas K. Landauer   Louis M. Gomez   Susan T. Dumais   ,1987
20,journals/coling/HirschbergL94,Empirical Studies on the Disambiguation of Cue Phrases.,Julia Hirschberg   Diane J. Litman   ,1993
30,journals/eswa/ChenWL11,A general knowledge mediation infrastructure for multi-agent systems.,Kun Chen   Huaiqing Wang   Hokyin Lai   ,2011
40,conf/dlog/KaminskiS09,Terminating Tableaux for SOQ with Number Restrictions on Transitive Roles.,Mark Kaminski   Gert Smolka   ,2009
50,conf/cg/Cazenave00,Abstract Proof Search.,Tristan Cazenave   ,2000
60,conf/ilp/DomingosKLPRS08,Markov Logic.,Pedro Domingos   Stanley Kok   Daniel Lowd   Hoifung Poon   Matthew Richardson   Parag Singla   ,2008
70,conf/ijcai/DaiMW09,Domain-Independent Automatic Partitioning for Probabilistic Planning.,Peng Dai   Mausam   Daniel S. Weld   ,2009
80,conf/aaai/DaiMW10,Decision-Theoretic Control of Crowd-Sourced Workflows.,Peng Dai   Mausam   Daniel S. Weld   ,2010
90,jougrnals/tsp/SherlockM98,On the space of orthonormal wavelets.,Barry G. Sherlock   Donald M. Monro   ,1998
100,conf/ilp/DomingosKLPRS08,Markov Logic.,Pedro Domingos   Stanley Kok   Daniel Lowd   Hoifung Poon   Matthew Richardson   Parag Singla   ,2008
